Nom,Prénom,Compte twitter,Élu au,twitterid,follows,id,name,screen_name,created_at,time_zone,utc_offset,protected,verified,url,lang,description,statuses_count,favourites_count,followers_count,following,friends_count,listed_count,geo_enabled,has_extended_profile,is_translation_enabled,is_translator,contributors_enabled,default_profile,default_profile_image,profile_background_color,profile_background_image_url,profile_background_image_url_https,profile_background_tile,profile_image_url,profile_image_url_https,profile_link_color,profile_location,profile_sidebar_border_color,profile_sidebar_fill_color,profile_text_color,profile_use_background_image
"VESPERINI","Alexandre","@A_Vesperini","Conseil de Paris","a_vesperini","aziereeric|beaudetstephane|antoinetteguhl|joellemorel11|c_najdovski|david_belliard|annesouyris|bernardjomier|yves_contassot|pjulien18|baratti_elbaz|leafiloche|pkomites|fredhoc|valerienahmias|fmehal|jb_bros|gybloch|dgabriel92|francoiskalfon|francoisdagnaud|ericlejoindre|fvauglin|f_calandra|verolevieux|d_tiberi|michassouline|thomaslauret16|yannwehrling|paidenbaum|jerome_coumet|myriamelkhomri|paulineveron|maopeninou|yaminabenguigui|annick_lepetit|fgaillanne|yvespdb|ianbrossat|chantalbrunel|remiferaud|jgleizes|alix_bougeret|jdhauteserre|danielegiazzi|edithgallois|jl_santini|lecuyercatherin|atanaseparis20|olga_johnson|desarnez|rkaroutchi|erichelard|atachene|floberthout_05|marielaureharel|rezeg_hamida|balasguillaume|catherine_dumas|emmanuelmaurel|mpdelagontrie|vmontandon|pierregaboriau|bernard_debre|julieboillot|hodentt|deborahpawlik|maudgatel|carine_petit|honore18e|patrick_tremege|adefressenel|ramayade|vincentroger754|geoffroydidier|brigitte_kuster|jphuchon|jeromedubus|claudegoasguen|philippe_goujon|pauriacombe|jacquesboutault|gpoiraultgauvin|brunobeschizza|nathfanfant|anne_hidalgo|cbe16|lellouchepierre|ddouillet|julienbargeton|geoffroyboulard|jp_lecoq|oliviapolski|dburkli|chantal_jouanno|jf_lamour|flefebvre_rf|celia_blauel|jbmenguy75015|jvplace|pascalcherki|pybournazel|datirachida|cgirard|vpecresse|nk_m",217028732,"Alexandre Vesperini","A_Vesperini","2010-11-18T11:37:53","Greenland",-10800,,,,"fr","Conseiller de Paris, Conseiller du 6° délégué à l'Environnement et au Développement durable. Sinon j'aime bien Barry White.",1225,24,1760,,2004,36,,,,,,true,,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",,"http://pbs.twimg.com/profile_images/623146382107496449/Pq89zacJ_normal.jpg","https://pbs.twimg.com/profile_images/623146382107496449/Pq89zacJ_normal.jpg","0084B4",,"C0DEED","DDEEF6","333333",true
"CORDEBARD","Alexandra","@ACORDEBARD","Conseil de Paris","acordebard","murielguenoux|fmehal|agovciyan|lecuyercatherin|nk_m|yannicktrigance|karentaieb4|jdhauteserre|sergiotinti1|rvbegue|michele_sabban|francoiskalfon|pjulien18|sandrinemees|claudegoasguen|robertoadrian|joellemorel11|raphaelleprimet|plaurent_pcf|floberthout_05|bealecouturier|alix_bougeret|hzoughebi|aurelie_solans|kone_fatou|hodentt|david_belliard|jbmenguy75015|yvespdb|annick_olivier|datirachida|philippe_goujon|brigitte_kuster|helenebidard|bernardjomier|antoinetteguhl|nicolasbonneto|celia_blauel|fgaillanne|pybournazel|manubecker|jacquesboutault|yves_contassot|lgoldgrab|marinettebache|afafgabelotaud|pklugman|carolinemecary|claudedargent15|emmacosse|yaminabenguigui|dversini|virginiedaspet|fvauglin|f_calandra|verolevieux|mpdelagontrie|francoisdagnaud|thomaslauret16|guerin_serge|jgleizes|carine_petit|jm_leguen|naweloumer|philippeducloux|hichamaffane|nathaliemaquoi|annick_lepetit|danielvaillant|julienbayou|deborahpawlik|myriamelkhomri|jerome_coumet|baratti_elbaz|jeanlucromero|cdallonnes|alisoumare|pbloche|mmancel|ianbrossat|fredhoc|c_najdovski|dburkli|annesouyris|pascalcherki|rogermadec|egregoire|balasguillaume|jlmissika|ch_brun|jb_bros|paulineveron|cocoruf|paidenbaum|scharnoz|benoithamon|nadabomangoli|nicolas_nordman|leafiloche|maopeninou|oliviapolski|ericlejoindre|remiferaud|pkomites|christine_frey1|dassouline|julienbargeton|jphuchon|emmanuelmaurel|brunojulliard|cgirard|anne_hidalgo|pierrekanuty|cbrossel|didguillot",369717860,"Alexandra Cordebard","ACORDEBARD","2011-09-07T20:39:59","Paris",3600,,,,"fr","Adjointe à la Maire de @Paris @Anne_Hidalgo chargée des affaires scolaires / Socialiste",2999,527,2703,,1902,81,true,,,,,,,"DBE9ED","http://pbs.twimg.com/profile_background_images/595195332465598465/-LfewgnE.jpg","https://pbs.twimg.com/profile_background_images/595195332465598465/-LfewgnE.jpg",true,"http://pbs.twimg.com/profile_images/638320870478491648/8M3uNb_6_normal.jpg","https://pbs.twimg.com/profile_images/638320870478491648/8M3uNb_6_normal.jpg","CC295F",,"FFFFFF","E6F6F9","333333",true
"EVREN","Agnès","@AdeFressenel","Conseil de Paris","adefressenel","ddouillet|jltouly|l_lafon|michassouline|gpoiraultgauvin|chantal_jouanno|aziereeric|brunobeschizza|mpbadre|jdbrg|hodentt|fredvalletoux|sdeschiens|jphuchon|jlmissika|julieboillot|paulineveron|pierregaboriau|lecuyercatherin|myriamelkhomri|maopeninou|sve83|a_vesperini|pauriacombe|yvespdb|valerienahmias|maudgatel|agovciyan|jdhauteserre|fpechenard|alix_bougeret|fmehal|frank_cecco|olga_johnson|ianbrossat|yannwehrling|marielaureharel|atanaseparis20|honore18e|desarnez|floberthout_05|lellouchepierre|rkaroutchi|cbe16|pkomites|vmontandon|remiferaud|nathfanfant|jeromedubus|julienbargeton|atachene|mdoaeschlimann|sceyrac|beaudetstephane|rezeg_hamida|patrick_tremege|franckmargain|brunojulliard|deborahpawlik|jp_lecoq|cgirard|brigitte_kuster|geoffroyboulard|geoffroydidier|francoiskalfon|danielegiazzi|catherine_dumas|vincentroger754|cbrossel|dburkli|claudegoasguen|pybournazel|anne_hidalgo|pascalcherki|philippe_goujon|bernard_debre|jbmenguy75015|jf_lamour|mpdelagontrie|nk_m|juliendray|datirachida|vpecresse",528558611,"Agnes Evren","AdeFressenel","2012-03-18T14:28:49","Hawaii",-36000,,,,"en","Conseillère de Paris, Vice-presidente Groupe LR au Conseil de Paris. Porte parole V.Pecresse (regionales IDF). Secretaire nationale.Ex-conseillere F.Baroin #15e",4787,705,4017,,1758,86,,,,,,true,,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",,"http://pbs.twimg.com/profile_images/644989901402980353/vfH-YmgG_normal.jpg","https://pbs.twimg.com/profile_images/644989901402980353/vfH-YmgG_normal.jpg","0084B4",,"C0DEED","DDEEF6","333333",true
"DUPONCHEL","Angèle","@ADUPONCHEL","Conseil régional d'IdF","aduponchel","yvespdb",447093230,"Angèle DUPONCHEL","ADUPONCHEL","2011-12-26T14:01:35",,,,,,"fr","",,,21,,11,1,,,,,,true,true,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",,"http://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png","https://abs.twimg.com/sticky/default_profile_images/default_profile_3_normal.png","0084B4",,"C0DEED","DDEEF6","333333",true
"GABELOTAUD","Afaf","@afafgabelotaud","Conseil de Paris","afafgabelotaud","maopeninou|benoithamon|jphuchon|cbrossel|thomaslauret16|danielvaillant|jlmissika|paulineveron|baratti_elbaz|pierrekanuty|scharnoz|carine_petit|c_najdovski|philippeducloux|ianbrossat|acordebard|anne_hidalgo|remiferaud|verolevieux|jerome_coumet|ericlejoindre|myriamelkhomri|cgirard|jb_bros|brunojulliard|didguillot",2348337313,"Gabelotaud Afaf","afafgabelotaud","2014-02-17T11:23:49","Athens",7200,,,,"fr","Conseillère de Paris en charge du commerce, de l'artisanat et du développement économique à la Mairie du 18°.",15,1,257,,104,14,,,,,,true,,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",,"http://pbs.twimg.com/profile_images/456913598401372161/_luDHnSA_normal.jpeg","https://pbs.twimg.com/profile_images/456913598401372161/_luDHnSA_normal.jpeg","0084B4",,"C0DEED","DDEEF6","333333",true
"GILLMANN","Aurore","@AGillmann","Conseil régional d'IdF","agillmann","fredhoc|patricebessac|beaudetstephane|g_vuilletet|cbrossel|antoinetteguhl|yves_contassot|mounirsatouri|geoffroydidier|rkaroutchi|marielauremeyer|psainsard|desarnez|blandiot_faride|yvespdb|audeevin|bernard_debre|mdoaeschlimann|egregoire|gatignon_steph|didierfischer1|mireillegitton|ericlejoindre|danielvaillant|pbloche|annick_lepetit|robertoadrian|didguillot|mgvlg|jdbrg|cocoruf|emmacosse|nadiabrahimi|datirachida|ramayade|durovray|karampatrick|solred78|bavay|ericcoquerel|hzoughebi|ortegapelletier|sdeschiens|maopeninou|gilmau|yaminabenguigui|claudegoasguen|cdallonnes|oliviapolski|bmarquaille|remiferaud|jm_leguen|balasguillaume|michelevitracp|jushbb|plaurent_pcf|larrouturou|hichamaffane|christine_frey1|murielguenoux|pierreserne|sgrandgambe|llechatellier|benoithamon|mpdelagontrie|pkomites|mmancel|hellakr|flefebvre_rf|gillesbattailt|jvplace|pybournazel|brigitte_kuster|michele_sabban|fredvalletoux|h_doucoure|nabilakeramane|fdiehlmann|alain_amedro|francoiskalfon|bfrancois_eelv|gpoiraultgauvin|legrandaugustin|jeanmarcbrule|clairemonod|mpbadre|juliiiie|eddieait_of|julienbayou|chantal_jouanno|pascalcherki|ch_brun|jphuchon|brunojulliard|dassouline|juliendray|jeanlucromero|nk_m|pierrekanuty|vpecresse|anne_hidalgo|dmbanza|nadabomangoli|mariannelouis|yannicktrigance|alisoumare|emmanuelmaurel|rosesarkissian|jeromeimpe|g_wortham",445600471,"Aurore Gillmann","AGillmann","2011-12-24T16:17:35",,,,,,"fr","Compte citoyen&politique. Conseillère régionale PS d'Ile-de-France. Médiateur national de l'énergie.",690,245,1315,,1259,49,true,true,,,,true,,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",,"http://pbs.twimg.com/profile_images/566295178852327424/2HAw7r9y_normal.jpeg","https://pbs.twimg.com/profile_images/566295178852327424/2HAw7r9y_normal.jpeg","0084B4",,"C0DEED","DDEEF6","333333",true
"GOVCIYAN","Alexis","@AGovciyan","Conseil régional d'IdF","agovciyan","adefressenel|robertoadrian|valerienahmias|geoffroyboulard|geoffroydidier|mustasaadi|gybloch|aziereeric|edithgallois|l_lafon|lecuyercatherin|atachene|mmancel|bgauducheau|martinevalleton|murielguenoux|dburkli|chantal_jouanno|catherine_dumas|flefebvre_rf|vpecresse|anne_hidalgo|benoithamon|nk_m|jeromeimpe|brigitte_kuster|sve83",207084053,"Alexis Govciyan","AGovciyan","2010-10-24T13:42:49","Paris",3600,,,"http://www.alexisgovciyan.fr","fr","Directeur de l'Institut Superieur des Metiers; Conseiller Regional d'Ile de France; Premier Adj. au Maire #Paris9",3949,548,1189,,426,51,,,,,,,,"FFFFFF","http://pbs.twimg.com/profile_background_images/860045247/2caca52b2562e4ebbab186dcd59ac96f.png","https://pbs.twimg.com/profile_background_images/860045247/2caca52b2562e4ebbab186dcd59ac96f.png",,"http://pbs.twimg.com/profile_images/1833384450/28856_102274523150701_100001044613939_16394_6415237_n_normal.jpeg","https://pbs.twimg.com/profile_images/1833384450/28856_102274523150701_100001044613939_16394_6415237_n_normal.jpeg","000000",,"FFFFFF","EFEFEF","333333",true
"AMEDRO","Alain","@Alain_Amedro","Conseil régional d'IdF","alain_amedro","antoinetteguhl|celia_blauel|marclipountz|bmarquaille|jacquesperreux|mireilleferri|ericcoquerel|murielguenoux|joellemorel11|mmancel|agovciyan|brunobeschizza|mpdelagontrie|guerin_serge|jgleizes|chantal_jouanno|celinemalaise|nadiabrahimi|beaudetstephane|julienbargeton|egregoire|didierfischer1|hellakr|c_najdovski|michelevitracp|gilmau|g_wortham|leneouannic|jeanlafont|mounirsatouri|robertoadrian|g_vuilletet|bavay|bernardjomier|jushbb|h_doucoure|yves_contassot|nadabomangoli|rosesarkissian|agillmann|erchev|david_belliard|nadiaazoug|jeromeimpe|brunojulliard|fdelapierre|alisoumare|emmanuelmaurel|cgirard|dmbanza|anne_hidalgo|jphuchon|plaurent_pcf|durovray|clairemonod|hichamaffane|mariannelouis|gillesbattailt|cdallonnes|balasguillaume|legrandaugustin|llechatellier|cbrossel|juliendray|sgrandgambe|hzoughebi|mgvlg|fredvalletoux|nabilakeramane|jacquesboutault|cocoruf|bfrancois_eelv|christine_frey1|benoithamon|solred78|annesouyris|jeanlucromero|feldzer|carolinemecary|juliiiie|julienbayou|pierreserne|jeanmarcbrule|emmacosse",88233221,"Alain Amédro","Alain_Amedro","2009-11-07T17:48:11","Paris",3600,,,"http://alainamedro.fr/","fr","Ecolo humaniste, urbaniste, Vice-président aménagement du #CRIdF : #PNR, #SDRIF, vp de @iauidf. Administrateur de @AIGrandParis. Vivre mieux ensemble #aulnay",3468,347,1808,,1996,96,,,,,,true,,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",,"http://pbs.twimg.com/profile_images/594626964968845312/qNzQph0B_normal.jpg","https://pbs.twimg.com/profile_images/594626964968845312/qNzQph0B_normal.jpg","0084B4",,"C0DEED","DDEEF6","333333",true
"SOUMARE","Ali","@alisoumare","Conseil régional d'IdF","alisoumare","ericcoquerel|hzoughebi|rezeg_hamida|nathfanfant|mpdelagontrie|audeevin|patricebessac|ericlejoindre|fdiehlmann|psainsard|annick_lepetit|pklugman|f_calandra|elvirajaouen|jeanmarcnicolle|paidenbaum|murielguenoux|ianbrossat|tassouline|myriamelkhomri|c_najdovski|didguillot|jm_leguen|pybournazel|michelevitracp|brunojulliard|mdoaeschlimann|provinisandra|cocoruf|didierfischer1|sve83|gpoiraultgauvin|karampatrick|fmehal|ddouillet|legrandaugustin|beaudetstephane|gatignon_steph|g_wortham|mounirsatouri|gilmau|mpbadre|fdelapierre|francoiskalfon|geoffroydidier|jushbb|cbrossel|bmarquaille|pascalcherki|ortegapelletier|g_vuilletet|chantal_jouanno|celinemalaise|mmancel|clairemonod|yannicktrigance|jeromeimpe|llechatellier|remiferaud|hellakr|yaminabenguigui|eddieait_of|agillmann|brunobeschizza|oliviapolski|sdeschiens|robertoadrian|datirachida|rosesarkissian|flefebvre_rf|jvplace|pkomites|hichamaffane|christine_frey1|rogermadec|ramayade|maopeninou|juliiiie|alain_amedro|julienbayou|plaurent_pcf|cgirard|balasguillaume|emmacosse|jeanmarcbrule|nabilakeramane|jeanlucromero|emmanuelmaurel|cdallonnes|pierreserne|sgrandgambe|ch_brun|pierrekanuty|mariannelouis|h_doucoure|nk_m|vpecresse|nadiabrahimi|juliendray|jphuchon|nadabomangoli|anne_hidalgo|dassouline|benoithamon",106187614,"Ali Soumare","alisoumare","2010-01-18T19:38:14","Paris",3600,,,"http://www.alisoumare.fr","fr","Conseiller régional Ile-de-France, villiers le bel (95 val d'oise) Instagram:ali_soumare",2515,782,4164,,1136,115,true,true,,,,,,"131516","http://abs.twimg.com/images/themes/theme14/bg.gif","https://abs.twimg.com/images/themes/theme14/bg.gif",true,"http://pbs.twimg.com/profile_images/654280747541508098/FGKlBjsC_normal.jpg","https://pbs.twimg.com/profile_images/654280747541508098/FGKlBjsC_normal.jpg","009999",,"EEEEEE","EFEFEF","333333",true
"BOUGERET","Alix","@Alix_Bougeret","Conseil de Paris","alix_bougeret","beaudetstephane|acordebard|pierregaboriau|jeanlucromero|remiferaud|lecuyercatherin|marielaureharel|gybloch|honore18e|a_vesperini|jphuchon|ramayade|yvespdb|michassouline|pauriacombe|cbe16|danielegiazzi|julieboillot|myriamelkhomri|brunojulliard|dassouline|benoithamon|yannwehrling|hodentt|jdhauteserre|edithgallois|vmontandon|annick_lepetit|deborahpawlik|erichelard|franckmargain|anne_hidalgo|nathfanfant|geoffroydidier|jp_lecoq|flefebvre_rf|frank_cecco|olga_johnson|adefressenel|philippeducloux|llechatellier|jvplace|g_vuilletet|floberthout_05|jbmenguy75015|vincentroger754|pybournazel|dburkli|atanaseparis20|rkaroutchi|gpoiraultgauvin|jf_lamour|bernard_debre|claudegoasguen|philippe_goujon|fpechenard|chantal_jouanno|datirachida|vpecresse|jeromedubus|valerienahmias|nk_m|catherine_dumas|geoffroyboulard|brigitte_kuster",2279164710,"Alix Bougeret","Alix_Bougeret","2014-01-06T14:34:10",,,,,,"fr","Conseillère de Paris - Conseillère du 17ème chargée des affaires scolaires. @lesRepublicains #paris17",2000,4,565,,438,12,,,,,,true,,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",,"http://pbs.twimg.com/profile_images/540090403500740608/vGeZ5Z4i_normal.jpeg","https://pbs.twimg.com/profile_images/540090403500740608/vGeZ5Z4i_normal.jpeg","0084B4",,"C0DEED","DDEEF6","333333",true
